index,field,pv,value,record_type
1862,error_sum,SR12A-PC-HSTR-03:ERCSUM,0,ai
1862,error_sum,SR12A-PC-VSTR-03:ERCSUM,0,ai
1862,state,SR12A-PC-HSTR-03:STATE,2,ai
1862,state,SR12A-PC-VSTR-03:STATE,2,ai
1868,enabled,SR12C-DI-EBPM-03:CF:ENABLED_S,1,ai
1873,error_sum,SR12A-PC-HSTR-04:ERCSUM,0,ai
1873,error_sum,SR12A-PC-VSTR-04:ERCSUM,0,ai
1873,state,SR12A-PC-HSTR-04:STATE,2,ai
1873,state,SR12A-PC-VSTR-04:STATE,2,ai
1883,error_sum,SR12A-PC-HSTR-05:ERCSUM,0,ai
1883,error_sum,SR12A-PC-VSTR-05:ERCSUM,0,ai
1883,state,SR12A-PC-HSTR-05:STATE,2,ai
1883,state,SR12A-PC-VSTR-05:STATE,2,ai
1888,enabled,SR12C-DI-EBPM-04:CF:ENABLED_S,1,ai
1896,error_sum,SR12A-PC-HSTR-06:ERCSUM,0,ai
1896,error_sum,SR12A-PC-VSTR-06:ERCSUM,0,ai
1896,state,SR12A-PC-HSTR-06:STATE,2,ai
1896,state,SR12A-PC-VSTR-06:STATE,2,ai
1899,enabled,SR12C-DI-EBPM-05:CF:ENABLED_S,1,ai
1906,enabled,SR12C-DI-EBPM-06:CF:ENABLED_S,1,ai
1912,error_sum,SR12A-PC-HSTR-07:ERCSUM,0,ai
1912,error_sum,SR12A-PC-VSTR-07:ERCSUM,0,ai
1912,state,SR12A-PC-HSTR-07:STATE,2,ai
1912,state,SR12A-PC-VSTR-07:STATE,2,ai
1920,enabled,SR12C-DI-EBPM-07:CF:ENABLED_S,1,ai
1922,error_sum,SR12A-PC-HSTR-08:ERCSUM,0,ai
1922,error_sum,SR12A-PC-VSTR-08:ERCSUM,0,ai
1922,state,SR12A-PC-HSTR-08:STATE,2,ai
1922,state,SR12A-PC-VSTR-08:STATE,2,ai
1932,error_sum,SR12A-PC-HSTR-09:ERCSUM,0,ai
1932,error_sum,SR12A-PC-VSTR-09:ERCSUM,0,ai
1932,state,SR12A-PC-HSTR-09:STATE,2,ai
1932,state,SR12A-PC-VSTR-09:STATE,2,ai
1934,enabled,SR12C-DI-EBPM-08:CF:ENABLED_S,1,ai
1950,enabled,SR12C-DI-EBPM-09:CF:ENABLED_S,1,ai
1952,error_sum,SR12A-PC-HSTR-10:ERCSUM,0,ai
